Title	URL	Assignees	Status	Estimated size	Real size	Sprint	Priority
Refactor Building Entity to Use Structured Address Fields	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/156		Product Backlog				
Auto-Detect Building from Uploaded Document Content	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/157		Product Backlog				
Document Upload Popup	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/154		Product Backlog				
Refactor Repository Structure and Cleanup	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/152		Product Backlog				
Bug: Inject correct API_URL in Frontend Production	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/162		Product Backlog				
Implement OCR using Tika service	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/160		Product Backlog				
Implement Session-Based Authentication for Frontend	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/159		Product Backlog				
Enhance the Frontend Design	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/135	arpita739	Product Backlog				
Remove FastAPI Proxy and Connect C# Backend Directly to Ollama	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/155	SyedAffan10	Product Backlog				
Remove Default /weatherforecast Endpoint from Backend	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/153		Product Backlog				
Bug: AI Assistant not working in production	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/158		Product Backlog				
Enhance User, (Technical) Design and Build/Deploy Documentation	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/129		Product Backlog				
Update Bill of Materials with New Dependencies	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/87		Sprint Backlog	1		Sprint 6	
Display JPG/PNG Files on File View Page Using Existing Viewer Component	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/120	bastydjamen	In Progress	3		Sprint 7	
Create a Building Form	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/118	bastydjamen	In Progress	5		Sprint 7	
Display Stored Documents and Buildings in the Document Explorer	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/95	masum-abid	In Progress	3		Sprint 7	
Gather sample files of building documents	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/20	SyedAffan10	In Progress	2		Sprint 7	
Connect Frontend Chat Component to LLM	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/100	SyedAffan10	Awaiting Review	3		Sprint 6	
Set Up Dockerized Apache Tika for Metadata Extraction	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/60	arpita739	Awaiting Review	5	0	Sprint 5	
Apache Tika Integration during Document Upload	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/99	arpita739	Awaiting Review	3		Sprint 7	
Seed Database with Sample Organizations and Users	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/117	arpita739, so77nava	Awaiting Review	5		Sprint 7	
Replace Default Web Service with Actual Angular Frontend	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/94	kamsur	Awaiting Review	3		Sprint 6	
Support OpenAPI Client Generation in Both Local and CI/CD Environments	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/51	kamsur	Awaiting Review	8		Sprint 5	
CRUD Endpoints for Document Not Working in Production	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/112	kamsur	Awaiting Review	3		Sprint 7	
Bug: Backend Container not working	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/136	kamsur, so77nava	Awaiting Review	2		Sprint 7	
Adopt Feature Branch Workflow and Clean Up Old Branches	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/108	masum-abid	Awaiting Review	2		Sprint 6	
Implement User Authentication in Backend	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/101	masum-abid	Awaiting Review	5		Sprint 7	
Enforce HTTPS on Production Server	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/98	so77nava	Awaiting Review	3		Sprint 7	
Implement Backend Logging	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/65	masum-abid	Awaiting Review	3		Sprint 7	
Refactor: Enforce Usage of OpenAPI SDK for All Backend API Calls in Frontend	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/119	so77nava	Awaiting Review	2		Sprint 7	
Add DB Organization Entity to Schema and EF Core Model	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/68	arpita739	Feature Archive	8	8	Sprint 5	
Document View Page displays Actual Documents	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/97	bastydjamen	Feature Archive	3	3	Sprint 6	
Implement Angular Frontend based on Figma Mockup	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/61	bastydjamen	Feature Archive	5	13	Sprint 5	
Upload and Store Document via Frontend	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/96	so77nava	Feature Archive	3	3	Sprint 6	
Persist Uploaded Files using Docker Volumes and Link to Stored Metadata	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/63	SyedAffan10	Feature Archive	8	8	Sprint 5	
Query Ollama via Backend	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/64	masum-abid	Feature Archive	5	5	Sprint 5	
Document Build Process in Video Format	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/82	kamsur	Feature Archive	2	5	Sprint 5	
Persist Building Data via EF Core Integration	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/67	so77nava	Feature Archive	5	5	Sprint 5	
Agree on project-specific Definition of Done	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/88	kamsur	Feature Archive	3	3	Sprint 5	
Remove Building Documents with Real Data	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/38	kamsur, masum-abid	Feature Archive	5	5	Sprint 4	
Implement CRUD Endpoints for Building	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/52	so77nava	Feature Archive	5	8	Sprint 4	
Implement CRUD Endpoints for Document with File Upload	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/50	masum-abid	Feature Archive	8	8	Sprint 4	
Integrate Linting into CI/CD with GitHub Actions	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/58	kamsur	Feature Archive	5	8	Sprint 4	
Add authentication to frontend	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/21	bastydjamen	Feature Archive	3	5	Sprint 4	
Design a Web Frontend Mockup	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/48	bastydjamen, masum-abid	Feature Archive	5	8	Sprint 4	
Set Up an Ollama Environment	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/53	SyedAffan10	Feature Archive	3	3	Sprint 4	
Implement Initial Data Models from Existing SQL Schema using C#	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/49	arpita739, so77nava	Feature Archive	8	5	Sprint 4	
Reorganize DB Scheme	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/59	arpita739	Feature Archive	1	1	Sprint 4	
Research typical (German) building documents	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/7	masum-abid	Feature Archive	2	2	Sprint 2	
Scaffold Basic Angular Application	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/6	bastydjamen, kamsur	Feature Archive	3	3	Sprint 2	
Scaffold Basic C# ASP.NET Web API	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/9	so77nava	Feature Archive	3	2	Sprint 2	
Research Local RAG‑Based LLM Solutions	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/10	SyedAffan10	Feature Archive	2	2	Sprint 2	
Linting And Formatting For Backend	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/11	so77nava	Feature Archive	1	2	Sprint 3	
Set Up a Pipeline with GitHub Actions	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/5	kamsur	Feature Archive	3	8	Sprint 3	
Linting And Formatting For Frontend	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/8	bastydjamen, kamsur	Feature Archive	1	1	Sprint 3	
