Title	URL	Assignees	Status	Estimated size	Sprint	Priority
Create a "Demo Video"	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/232	kamsur	Sprint Backlog	3	Sprint 12	
Enhance User, (Technical) Design and Build/Deploy Documentation	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/129		Sprint Backlog	5	Sprint 13	
Improve Performance of OCR Extraction with Apache Tika	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/237	arpita739	In Progress	5	Sprint 12	
Test Final Product and Fix Remaining Bugs	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/267	masum-abid	In Progress	5	Sprint 13	
Prepare Demo Presentation	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/269		In Progress	8	Sprint 13	
Remove Default /weatherforecast Endpoint from Backend	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/153	arpita739	Awaiting Review	1	Sprint 13	
Extract Key Information Using Separate Prompt After Category Confirmation	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/273	SyedAffan10	Awaiting Review	5	Sprint 12	
Remove Unused Tables and Fields from Database	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/238	so77nava	Awaiting Review	2	Sprint 13	
Ensure Consistent Key Information Extraction and Frontend Display Based on document-categories.json	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/272	bastydjamen, so77nava	Awaiting Review	5	Sprint 13	
Fine-Tune Frontend for Final Delivery	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/270	masum-abid	Awaiting Review	5	Sprint 13	
Update Repository README file(s)	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/268	arpita739	Awaiting Review	2	Sprint 13	
Confirm Correct Usage of Open API SDK for all Frontend-Backend Communication	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/271	kamsur	Awaiting Review	5	Sprint 13	
Enforce HTTPS on Production Server	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/98	so77nava	Feature Archive	3	Sprint 7	
Pre-Select Category Name in Frontend Upload Popup	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/247	so77nava	Feature Archive	2	Sprint 12	
Deploy Larger Language Model on Production & Redirect Local Dev Requests	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/221	kamsur	Feature Archive	8	Sprint 11	
Enable Document-Scoped Chat in Frontend	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/239	bastydjamen	Feature Archive	5	Sprint 12	
Create Document-Scoped Chatbot Backend Endpoint for User Queries	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/233	arpita739	Feature Archive	8	Sprint 12	
Refactor Repository Structure and Cleanup	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/152	kamsur	Feature Archive	2	Sprint 12	
Make Key Information Editable for User	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/236	masum-abid	Feature Archive	3	Sprint 12	
Create a "Demo Day Slide"	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/231	masum-abid	Feature Archive	3	Sprint 12	
Bug: Document Download not working	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/235	masum-abid	Feature Archive	2	Sprint 12	
